AGE,SEDENTARY,,ACTIVE
,,MODERATELY ACTIVE,
2,"1,000","1,000","1,000"
3,"1,000","1,400","1,400"
4,"1,200","1,400","1,600"
5,"1,200","1,400","1,600"
6,"1,400","1,600","1,800"
7,"1,400","1,600","1,800"
8,"1,400","1,600","2,000"
9,"1,600","1,800","2,000"
10,"1,600","1,800","2,200"
11,"1,800","2,000","2,200"
12,"1,800","2,200","2,400"
13,"2,000","2,200","2,600"
14,"2,000","2,400","2,800"
15,"2,200","2,600","3,000"
16,"2,400","2,800","3,200"
17,"2,400","2,800","3,200"
18,"2,400","2,800","3,200"
19-20,"2,600","2,800","3,000"
21-25,"2,400","2,800","3,000"
26-30,"2,400","2,600","3,000"
31-35,"2,400","2,600","3,000"
36-40,"2,400","2,600","2,800"
41-45,"2,200","2,600","2,800"
46-50,"2,200","2,400","2,800"
51-55,"2,200","2,400","2,800"
56-60,"2,200","2,400","2,600"
61-65,"2,000","2,400","2,600"
66-70,"2,000","2,200","2,600"
71-75,"2,000","2,200","2,600"
76 and up,"2,000","2,200","2,400"
